"id","name","slug","location","category","instagram"
"1","#1 Suspect Extracts","1-suspect-extracts"," CA","Concentrates, ",
"2","1 World Medicinals","1-world-medicinals"," CA","Flower, Concentrates, Edibles, Medical, ",
"3","1906 New Highs","1906-new-highs"," CO","Edibles, ",
"4","2020 Creations","2020-creations"," CA","Concentrates, ",
"5","2020 Future Pre Rolls","2020-future-pre-rolls"," CA","Flower, ",
"6","2020 Knockout Pre Roll Sticks","2020-knockout-pre-roll-sticks"," CA","Flower, ",
"7","2020 Medi Mudd","2020-medi-mudd"," Ca","Edibles, ",
"8","2020 Private Reserve Pre Rolls","2020-private-reserve-pre-rolls"," CA","Flower, ",
"9","23 Oils","23-oils"," CA","Concentrates, ",
"10","24 KARAT EXTRACTIONS (CANADA)","24-karat-extractions-canada"," CA","Concentrates, ",
"11","24K Concentrates","24k-concentrates"," CA","Concentrates, ",
"12","2WNTY3","2wnty3"," CA","Vapes, ",
"13","4 LOVE OIL","4-love-oil"," CA","Edibles, Medical, ",
"14","41 Wax Co.","41-wax-co"," CA","Concentrates, ",
"15","420 Vapor","420-vapor"," CA","Concentrates, Vape Pens, ",
"16","420 Yummies","420-yummies"," CA","Edibles, ",
"17","5-Hour High Co.","5-hour-high-co"," CA","Edibles, ",
"18","5150 Wax Rolls","5150-wax-rolls"," California","Flower, ",
"19","7 Points Oregon","7-points-oregon"," OR","Flower, ",
"20","710 Errl Pharm","710-errl-pharm"," CA","Concentrates, ",
"21","710 Kingpen","710-kingpen"," CA","Vapes, ",
"22","710 Labs","710-labs"," CA","Concentrates, ",
"23","805 BUDDHA BLISS","805-buddha-bliss"," CA",,
"24","831 Organiks","831-organiks"," CA",,
"25","831 Quality","831-quality"," CA","Flower, ",
"26","9 Planet Moonbites","9-planet-moonbites"," CA",,
"27","Ablis Sparkling Green","ablis-sparkling-green"," CA","Edibles, ",
"28","Above Top Shelf","above-top-shelf"," CA","Flower, Edibles, ",
"29","Absolute Cannabis Seeds","absolute-cannabis-seeds"," CA","Flower, ",
"30","Absolute Terps","absolute-terps"," CA","Concentrates, ",
"31","AbsoluteXtracts","absolutextracts"," CA","Flower, Vape Pens, Edibles, Medical, ",
"32","ACE Seeds","ace-seeds"," CA","Flower, ",
"33","ACME Elixirs","acme-elixirs"," CA","Concentrates, ",
"34","Advanced Extracts","advanced-extracts"," CA","Concentrates, ",
"35","Aftermath Cannabis","aftermath-cannabis"," CA","Concentrates, Edibles, ",
"36","Agua De Flor","agua-de-flor"," CA",,
"37","Aims Horticulture","aims-horticulture"," California","Flower, Batteries, Apparel, ",
"38","Alaf Farms","alaf-farms"," CA","Flower, ",
"39","ALAIR Vaporizers (CANADA)","alair-vaporizers-canada"," BC","Vapes, ",
"40","Alaskan Built Seeds","alaskan-built-seeds"," CA","Flower, ",
"41","Alchemy by Dark Heart","alchemy-by-dark-heart"," CA","Vapes, ",
"42","Alchemy Edibles","alchemy-edibles"," CA","Edibles, ",
"43","Alchemy Extracts","alchemy-extracts"," CA",,
"44","Alef","alef"," MI","Flower, ",
"45","Alien Labs","alien-labs"," CA","Flower, Concentrates, ",
"46","Almadula","almadula"," CA",,
"47","Aloha Botanics","aloha-botanics"," CA","Flower, ",
"48","Alpha Genetic","alpha-genetic"," CA","Flower, ",
"49","Alpha-Cat","alpha-cat"," CA","Medical, ",
"50","Alpine Vapor","alpine-vapor"," CA","Concentrates, Vape Pens, Batteries, ",
"51","Alta California Botanicals","alta-california-botanicals"," California","Edibles, ",
"52","Altai Brands","altai-brands"," California","Edibles, ",
"53","Alter Farms","alter-farms"," OR","Flower, ",
"54","Altered States Concentrates and Edibles","altered-states-concentrates-and-edibles"," CA","Concentrates, Vape Pens, Edibles, Medical, ",
"55","Alternative Healing Solutions","alternative-healing-solutions"," CA","Flower, Concentrates, ",
"56","Alternative Medicine Association","alternative-medicine-association"," NV","Flower, Concentrates, ",
"57","Alternative Remedies","alternative-remedies"," OR","Flower, ",
"58","Alvinatur Natural Cosmetics","alvinatur-natural-cosmetics"," CA","Medical, ",
"59","Amazing Herbal Creations","amazing-herbal-creations"," CA","Medical, ",
"60","Ambary Gardens","ambary-gardens"," CO","Medical, ",
"61","Amber Alchemy","amber-alchemy"," CA","Concentrates, ",
"62","Ambrosia","ambrosia"," CA","Edibles, Medical, ",
"63","Ambrosia Rosin","ambrosia-rosin"," CA","Concentrates, ",
"64","Ambrosia Superior Extracts by TeraPen","ambrosia-superior-extracts-by-terapen"," CA","Vapes, ",
"65","American Flower","american-flower"," CA","Vapes, Batteries, ",
"66","American Organic","american-organic"," CA","Flower, ",
"67","Americanna","americanna"," CA","Concentrates, Vape Pens, Batteries, ",
"68","Americone Products","americone-products"," CA","Flower, ",
"69","Ananda Hemp","ananda-hemp"," CA","Medical, ",
"70","Ancient Medicinal Herbs","ancient-medicinal-herbs"," CA","Edibles, ",
"71","Andretti OG","andretti-og"," Ca",,
"72","Annabis Cosmetics","annabis-cosmetics"," CA","Medical, ",
"73","Apai Healing Herbs","apai-healing-herbs"," CA","Medical, ",
"74","Apis Ekstraks","apis-ekstraks"," CA",,
"75","Apollo","apollo"," CA","Flower, Concentrates, ",
"76","Apollo Medical Center (CANADA)","apollo-medical-center-canada"," BC","Concentrates, Vape Pens, ",
"77","Apothecanna","apothecanna"," CO",,
"78","Apothecary Extracts","apothecary-extracts"," CO","Concentrates, ",
"79","Apothecary Labs (CANADA)","apothecary-labs-canada"," QC",,
"80","ApothePur","apothepur"," CA","Edibles, ",
"81","Apple Farms INC","apple-farms-inc"," Ca","Flower, Concentrates, Edibles, ",
"82","Archive Seed Bank","archive-seed-bank"," CA",,
"83","Area 51 Extracts","area-51-extracts"," CA",,
"84","Artisan Canna Cigars","artisan-canna-cigars"," CA","Flower, ",
"85","Artizen Cannabis","artizen-cannabis"," Wa","Featured, Flower, Concentrates, Vape Pens, ",
"86","Astur Jaya Seeds Bank","astur-jaya-seeds-bank"," CA","Flower, ",
"87","Atom Labs","atom-labs"," Oregon","Concentrates, ",
"88","Atomik 420","atomik-420"," CA","Flower, Concentrates, Medical, ",
"89","Atomik Seeds","atomik-seeds"," CA","Flower, ",
"90","AU Estates","au-estates"," CA",,
"91","Auntie Dolores","auntie-dolores"," Ca","Edibles, Medical, ",
"92","Autospliff","autospliff"," CA","Vapes, ",
"93","Avitas (CANADA)","avitas-canada"," CA","Edibles, ",
"94","Awakened Topicals","awakened-topicals"," CA","Medical, ",
"95","AZ Exclusive Extracts","az-exclusive-extracts"," CA","Concentrates, ",
"96","Azlu Edibles","azlu-edibles"," CA","Edibles, Medical, ",
"97","Bad Wizard Concentrates","bad-wizard-concentrates"," Ca","Concentrates, ",
"98","BaKed","baked"," CA",,
"99","Baked Babysitter","baked-babysitter"," CA","Edibles, ",
"100","Baked Bees Medicated Honey","baked-bees-medicated-honey"," CA","Edibles, ",
"101","Baked Bros","baked-bros"," AZ","Edibles, ",
"102","Baked by coco","baked-by-coco"," OR","Edibles, ",
"103","Baked Edibles (CANADA)","baked-edibles-canada"," BC",,
"104","Baked Sale Medibles","baked-sale-medibles"," MI","Edibles, ",
"105","Baker Bros","baker-bros"," OR","Edibles, ",
"106","Bakked","bakked"," AZ","Concentrates, ",
"107","BaM","bam"," NV","Flower, Concentrates, Vape Pens, Edibles, Medical, ",
"108","Bambino Blunts","bambino-blunts"," CA","Flower, ",
"109","BAMF Extractions","bamf-extractions"," CA","Flower, Concentrates, ",
"110","Banzai Vapes","banzai-vapes"," CA","Vapes, ",
"111","Barely Legal","barely-legal"," CA","Concentrates, ",
"112","Barewoods","barewoods"," California",,
"113","Bark Wellness","bark-wellness"," CA","Edibles, ",
"114","Baroni","baroni"," CA","Concentrates, ",
"115","Bayflower","bayflower"," CA","Concentrates, ",
"116","BCN Seeds","bcn-seeds"," CA","Flower, ",
"117","Be Tru Organics","be-tru-organics"," CA","Medical, ",
"118","Be Well Botanicals","be-well-botanicals"," CA","Medical, ",
"119","Beard Bros Pharms","beard-bros-pharms"," CA","Flower, Concentrates, Edibles, Medical, ",
"120","Beboe","beboe"," CA","Vapes, Edibles, ",
"121","Bedder Budder PDX","bedder-budder-pdx"," CA","Edibles, ",
"122","BeeBuzzed Extracts","beebuzzed-extracts"," CA","Flower, Concentrates, ",
"123","Beehive Extracts","beehive-extracts"," OR","Concentrates, ",
"124","Beezle Extracts","beezle-extracts"," CA","Concentrates, Vape Pens, ",
"125","Bert Baccaratt","bert-baccaratt"," California","Flower, ",
"126","Best Coast Genetics","best-coast-genetics"," CA","Flower, ",
"127","Beta Seeds Bank","beta-seeds-bank"," CA","Flower, ",
"128","Betta Mints by Milo Confections","betta-mints-by-milo-confections"," CA","Edibles, Medical, ",
"129","Betty Khronic","betty-khronic"," CA","Edibles, ",
"130","BG Family Farms","bg-family-farms"," CA","Flower, ",
"131","Bhang","bhang"," CA","Vapes, Edibles, Medical, Batteries, ",
"132","Big Daddy Edibles","big-daddy-edibles"," CA","Concentrates, Edibles, Medical, ",
"133","Bigfoot Genetics","bigfoot-genetics"," CA","Flower, Concentrates, ",
"134","BINSKE","binske"," CO","Edibles, ",
"135","BIOCAN (CANADA)","biocan-canada"," CA","Vapes, ",
"136","Biohazard Seeds (SPAIN)","biohazard-seeds-spain"," CA","Flower, ",
"137","Bionic Bee Organic Cannabis Extracts","bionic-bee-organic-cannabis-extracts"," CA","Vapes, ",
"138","BirdBubble","birdbubble"," CA","Concentrates, ",
"139","Biscotti","biscotti"," CA","Flower, ",
"140","Black Rose Reserve","black-rose-reserve"," CA","Flower, ",
"141","Black Sheep Herbs & Extracts","black-sheep-herbs-extracts"," CA",,
"142","Blackleaf","blackleaf"," CA","Flower, Concentrates, Apparel, ",
"143","Blackout Premium Roll","blackout-premium-roll"," Ca","Flower, ",
"144","Blaze","blaze"," OR","Flower, Concentrates, Edibles, ",
"145","Blazin Asian Medibles","blazin-asian-medibles"," CA","Edibles, ",
"146","Blazing Ape OG Kush","blazing-ape-og-kush"," MI","Flower, Concentrates, ",
"147","Blend Bath and Body","blend-bath-and-body"," CA","Medical, ",
"148","Blessed Edibles (CANADA)","blessed-edibles-canada"," CA",,
"149","Blessed Extracts","blessed-extracts"," CA",,
"150","Blimburn Seeds (SPAIN)","blimburn-seeds-spain"," CA",,
"151","Blissful Herbs (CANADA)","blissful-herbs-canada"," CA",,
"152","Blissful Oil","blissful-oil"," CA",,
"153","Blizzard Extracts","blizzard-extracts"," CA","Concentrates, ",
"154","Bloom Farms","bloom-farms"," CA",,
"155","Blue Chip Genetics","blue-chip-genetics"," CA","Flower, ",
"156","Blue KUDU","blue-kudu"," CO","Edibles, ",
"157","Blue Roots Cannabis","blue-roots-cannabis"," WA","Flower, Concentrates, Edibles, ",
"158","Bluebird Botanicals","bluebird-botanicals"," CA","Concentrates, Vape Pens, Medical, ",
"159","Bodhi High","bodhi-high"," WA","Concentrates, Vape Pens, Medical, ",
"160","Bold Leaf","bold-leaf"," WA","Flower, ",
"161","Bolder Extracts","bolder-extracts"," WA","Concentrates, ",
"162","Bomb Bomb","bomb-bomb"," WA","Flower, ",
"163","Bombay Farms","bombay-farms"," WA","Flower, ",
"164","Bonez Grown","bonez-grown"," WA","Flower, ",
"165","Bonfire Cannabis","bonfire-cannabis"," Co","Flower, Concentrates, ",
"166","Bonsai Cultivation","bonsai-cultivation"," CO","Flower, ",
"167","Boom Extrax","boom-extrax"," Oregon","Concentrates, Vape Pens, ",
"168","Boomshaka Cupcakes","boomshaka-cupcakes"," CA","Edibles, ",
"169","Boss Concentrates","boss-concentrates"," CA","Concentrates, ",
"170","Boss Status Genetics","boss-status-genetics"," CA","Flower, ",
"171","Botex Pharma","botex-pharma"," CA","Concentrates, Medical, ",
"172","Brass Knuckles","brass-knuckles"," CA",,
"173","Brass Monkey","brass-monkey"," CA","Flower, Concentrates, ",
"174","Brave Hearts Private Reserve","brave-hearts-private-reserve"," CA","Flower, ",
"175","Breaking Dab Lab","breaking-dab-lab"," CA","Flower, ",
"176","Breaking Fractions Extracts","breaking-fractions-extracts"," MI","Vapes, ",
"177","BreakingErrl","breakingerrl"," MI","Edibles, ",
"178","Breez Mints","breez-mints"," CA","Edibles, ",
"179","Brents Farms","brents-farms"," CA","Flower, ",
"180","Brewbudz by Cannabiniers","brewbudz-by-cannabiniers"," CA","Edibles, ",
"181","Brite Labs","brite-labs"," CA","Concentrates, Vape Pens, ",
"182","Brutal Bee","brutal-bee"," CA","Concentrates, ",
"183","Bud Barber","bud-barber"," Ca","Edibles, Medical, ",
"184","Budda Blends","budda-blends"," CA","Medical, ",
"185","Buddah Seeds Bank (SPAIN)","buddah-seeds-bank-spain"," CA","Flower, ",
"186","Budder Lips","budder-lips"," CA","Medical, ",
"187","Buddha Budder","buddha-budder"," CA","Concentrates, Vape Pens, ",
"188","BUDHUB","budhub"," CA","Flower, ",
"189","Bullet Concentrates","bullet-concentrates"," CA","Concentrates, Vape Pens, Batteries, ",
"190","Burn Extracts","burn-extracts"," CA","Concentrates, Vape Pens, ",
"191","Butter Baby!","butter-baby"," CA","Edibles, ",
"192","ButterBrand","butterbrand"," CA",,
"193","BuudaBomb (CANADA)","buudabomb-canada"," CA",,
"194","Buzzd Flowers & Concentrates","buzzd-flowers-concentrates"," CA","Flower, Concentrates, ",
"195","BZS Resource","bzs-resource"," CA",,
"196","C/MDâ„¢ skincare","c-md-skincare"," CA",,
"197","C3 Global Biosciences","c3-global-biosciences"," CA","Medical, ",
"198","Cake Extracts","cake-extracts"," CA","Flower, Concentrates, Medical, ",
"199","Cakes","cakes"," CA","Concentrates, Edibles, Medical, ",
"200","Cali Bush Master","cali-bush-master"," CA",,
"201","Cali Dreams Candy Company","cali-dreams-candy-company"," CA",,
"202","Cali Kush Farms","cali-kush-farms"," Ca",,
"203","Cali Love","cali-love"," Ca","Medical, ",
"204","Cali-Oil Gold","cali-oil-gold"," CA","Flower, Vape Pens, Edibles, Batteries, ",
"205","Califlower","califlower"," CA","Flower, Concentrates, Vape Pens, Edibles, ",
"206","California Alchemy","california-alchemy"," CA","Flower, Concentrates, ",
"207","California Dab Company","california-dab-company"," CA",,
"208","California Finest","california-finest"," CA","Flower, ",
"209","California Gold Concentrates","california-gold-concentrates"," CA","Concentrates, ",
"210","California Gold Rush Extracts","california-gold-rush-extracts"," CA","Concentrates, Budder, ",
"211","California Unified","california-unified"," CA","Flower, Concentrates, Vape Pens, ",
"212","California Veganix","california-veganix"," CA","Flower, ",
"213","CALIGOLD","caligold"," CALIFORNIA","Edibles, ",
"214","Caliva","caliva"," CA",,
"215","Calvin N Globz","calvin-n-globz"," CA","Concentrates, ",
"216","Calyx Garden","calyx-garden"," CA","Flower, Concentrates, ",
"217","Campfire Collective","campfire-collective"," CA","Edibles, ",
"218","Canada Concentrates (CANADA)","canada-concentrates-canada"," ON","Concentrates, ",
"219","Canafused Flower & Extractions","canafused-flower-extractions"," ON","Flower, ",
"220","Canamo Concentrates","canamo-concentrates"," AZ","Concentrates, ",
"221","Canapa Brands","canapa-brands"," CA","Concentrates, Edibles, ",
"222","Canapaio Mantovano (SPAIN)","canapaio-mantovano-spain"," CA","Edibles, ",
"223","Cann Eye Dream Ice Cream","cann-eye-dream-ice-cream"," CA","Edibles, ",
"224","Canna Balanc3","canna-balanc3"," CA","Edibles, ",
"225","Canna Benefits","canna-benefits"," CA",,
"226","Canna Butter Delight","canna-butter-delight"," CA",,
"227","Canna Confections","canna-confections"," AZ","Edibles, ",
"228","Canna Herb Farms LLC","canna-herb-farms-llc"," AZ","Flower, Concentrates, ",
"229","Canna Nano CBD","canna-nano-cbd"," CA","Edibles, ",
"230","Canna Trading Co.","canna-trading-co"," CA","Concentrates, Vape Pens, Medical, Apparel, ",
"231","Canna-Rite","canna-rite"," CA","Vapes, ",
"232","Cannabeer (SPAIN)","cannabeer-spain"," CA","Edibles, ",
"233","Cannabella","cannabella"," NV","Edibles, ",
"234","Cannabinade","cannabinade"," CA","Edibles, ",
"235","Cannabinique","cannabinique"," CA","Medical, ",
"236","Cannabinoid Creations","cannabinoid-creations"," CA",,
"237","Cannabinoid Water","cannabinoid-water"," CA",,
"238","CannaBioGen (SPAIN)","cannabiogen-spain"," CA","Flower, ",
"239","Cannabiotix","cannabiotix"," CA","Flower, Concentrates, ",
"240","Cannabis by the Sea","cannabis-by-the-sea"," CA","Vapes, ",
