"id","name","slug","brand","category","strain","thc","cbd","lab_test"
"1","Pre-Roll Package - Pre-roll","the-humboldt-cure-pre-roll-package-pre-roll","The Humboldt Cure","Flowers,Pre-Roll",,,,
"2","ounce of cannabis","the-humboldt-cure-ounce-of-cannabis","The Humboldt Cure",,,,,
"3","1/2 ounce of cannabis","the-humboldt-cure-1-2-ounce-of-cannabis","The Humboldt Cure",,,,,
"4","1/4 ounce of cannabis","the-humboldt-cure-1-4-ounce-of-cannabis","The Humboldt Cure",,,,,
"5","1/8","the-humboldt-cure-1-8","The Humboldt Cure",,,,,
"6","Nectar Box-The Humboldt Cure","the-humboldt-cure-nectar-box-the-humboldt-cure","The Humboldt Cure",,,,,
"7","The Humboldt Cure  - Pre-roll","the-humboldt-cure-the-humboldt-cure-pre-roll","The Humboldt Cure","Flowers,Pre-Roll",,,,
"8","CBD-Rich Recovery Salve - 5ml Sample","turtle-bud-cbd-rich-recovery-salve-5ml-sample","Turtle Bud","Topical,",,"5mg","35mg",
"9","CBD-Rich Recovery Salve","turtle-bud-cbd-rich-recovery-salve","Turtle Bud","Topical,",,"30mg","210mg",
"10","Lift Tickets Gucci OG Rosin","lift-tickets-lift-tickets-gucci-og-rosin","Lift Tickets",,,,,
"11","Lift Tickets - 2 Pack White Fire #5","lift-tickets-lift-tickets-2-pack-white-fire-5","Lift Tickets",,,,,
"12","Lift Tickets - 2 Pack Organic Tangie Rosin","lift-tickets-lift-tickets-2-pack-organic-tangie-rosin","Lift Tickets",,,,,
"13","Lift Tickets - 2 Pack 805 Oilers Tangie","lift-tickets-lift-tickets-2-pack-805-oilers-tangie","Lift Tickets",,,,,
"14","Lift Ticket - 1 Pack","lift-tickets-lift-ticket-1-pack","Lift Tickets",,,,,
"15","Salve CBD","innovative-extrations-salve-cbd","Innovative Extrations","Topical,",,,,
"16","Sextiva","innovative-extrations-sextiva","Innovative Extrations","Topical,",,"130mg",,
"17","Body Butter","jayn-green-body-butter","Jayn Green","Topical,",,,,
"18","Beard Oil","jayn-green-beard-oil","Jayn Green","Topical,",,,,
"19","Beard Balm","jayn-green-beard-balm","Jayn Green","Topical,",,,,
"20","CBD Lip Balm","endoca-cbd-lip-balm","Endoca",,,,"20mg",
"21","CBD Suppository","endoca-cbd-suppository","Endoca",,,,"500mg",
"22","Bond Sensual Oil","bond-bond-sensual-oil","BOND","Topical,",,,,
"23","Lip Balm","mota-lip-balm","Mota","Topical,",,"110mg",,
"24","Green Balm","mota-green-balm","Mota","Topical,",,"420mg",,
"25","Green Cream","mota-green-cream","Mota","Topical,",,"400mg",,
"26","Joint Kit - Lemon OG - Pre-roll","lola-lola-joint-kit-lemon-og-pre-roll","Lola Lola","Flowers,Pre-Roll",,,,
"27","Joint Kit - Sunset Sherbet  - Pre-roll","lola-lola-joint-kit-sunset-sherbet-pre-roll","Lola Lola","Flowers,Pre-Roll",,,,
"28","Rose Geranium Bath Fizzer","om-edibles-medicinals-rose-geranium-bath-fizzer","Om Edibles + Medicinals","Topical,Bath,",,"25mg",,
"29","Watermelon 800mg - Pre-roll","presidential-rx-watermelon-800mg-pre-roll","Presidential Rx","Flowers,Pre-Roll",,,,
"30","Vanilla 800mg - Pre-roll","presidential-rx-vanilla-800mg-pre-roll","Presidential Rx","Flowers,Pre-Roll",,,,
"31","Strawberry 800mg - Pre-roll","presidential-rx-strawberry-800mg-pre-roll","Presidential Rx","Flowers,Pre-Roll",,,,
"32","Pineapple 800mg  - Pre-roll","presidential-rx-pineapple-800mg-pre-roll","Presidential Rx","Flowers,Pre-Roll",,,,
"33","Presidential Rx 800mg - Pre-roll","presidential-rx-presidential-rx-800mg-pre-roll","Presidential Rx","Flowers,Pre-Roll",,,,
"34","Grape 800mg - Pre-roll","presidential-rx-grape-800mg-pre-roll","Presidential Rx","Flowers,Pre-Roll",,,,
"35","Pina Colada 800mg - Pre-roll","presidential-rx-pina-colada-800mg-pre-roll","Presidential Rx","Flowers,Pre-Roll",,,,
"36","Explore (8 Pack)","foria-explore-8-pack","Foria",,,"480mg","80mg",
"37","Preroll - Pre-roll","nativ-preroll-pre-roll","Nativ","Flowers,Pre-Roll",,,,
"38","EMU Black 180 Medicated Rub","cannariginals-emu-black-180-medicated-rub","Cannariginals","Topical,",,"60mg","1,120mg",
"39","Coconut Lime Soap","cannabinique-coconut-lime-soap","Cannabinique","Topical,Bath,",,,,
"40","Cannabis Rose Soap","cannabinique-cannabis-rose-soap","Cannabinique","Topical,Bath,",,,,
"41","Hydrating CBD Body Creme","cannabinique-hydrating-cbd-body-creme","Cannabinique","Topical,",,"11mg",,
"42","Mary Jane CBD Beauty Cream","cannabinique-mary-jane-cbd-beauty-cream","Cannabinique","Topical,",,,"20mg",
"43","CBD Releave Balm","cannabinique-cbd-releave-balm","Cannabinique","Topical,",,,"11mg",
"44","Deeply Rooted","weeds-grow-wild-deeply-rooted","Weeds Grow Wild","Topical,",,,,
"45","Pure Amber","weeds-grow-wild-pure-amber","Weeds Grow Wild","Topical,",,,,
"46","Coffee Cacao","weeds-grow-wild-coffee-cacao","Weeds Grow Wild","Topical,",,,,
"47","Redwood & Roses","weeds-grow-wild-redwood-roses","Weeds Grow Wild","Topical,",,,,
"48","Goldyn Mylk","weeds-grow-wild-goldyn-mylk","Weeds Grow Wild","Topical,",,,,
"49","Unscented Salve - 2 oz","infinite-flower-organics-unscented-salve-2-oz","Infinite Flower Organics","Topical,",,,,
"50","Unscented Salve - 1 oz","infinite-flower-organics-unscented-salve-1-oz","Infinite Flower Organics","Topical,",,,,
"51","Tea Tree Citron Salve - 2 oz","infinite-flower-organics-tea-tree-citron-salve-2-oz","Infinite Flower Organics","Topical,",,,,
"52","Tea Tree Citron Salve - 1 oz","infinite-flower-organics-tea-tree-citron-salve-1-oz","Infinite Flower Organics","Topical,",,,,
"53","Sandalwood Salve - 1 oz. ","infinite-flower-organics-sandalwood-salve-1-oz","Infinite Flower Organics","Topical,",,,,
"54","Rosemary Peppermint Lip Balm","infinite-flower-organics-rosemary-peppermint-lip-balm","Infinite Flower Organics","Topical,",,,,
"55","Citron, Jasmine, Iris, Teakwood, Vetiver, Patchouli Salve - 2oz","infinite-flower-organics-citron-jasmine-iris-teakwood-vetiver-patchouli-salve-2oz","Infinite Flower Organics","Topical,",,,,
"56","Citron, Jasmine, Iris, Teakwood, Vetiver, Patchouli Salve - 1oz","infinite-flower-organics-citron-jasmine-iris-teakwood-vetiver-patchouli-salve-1oz","Infinite Flower Organics","Topical,",,,,
"57","Cellular Repair Balm","earth-pharm-laboratories-cellular-repair-balm","Earth Pharm Laboratories","Topical,",,"121.55mg",,
