"id","status","sort","name","slug","image","description","type","crosses","breeder","effects","ailment","flavor","location","terpenes","thc","thca","thcv","cbd","cbda","cbdv","cbn","cbg","cbgm","cbgv","cbc","cbcv","cbv","cbe","cbt","cbl"
"1","1","0","100 OG",NULL,,"<p>This strain is named after it's high price in it's Hollywood home. As a 50/50 hybrid of indica and sativa, $100 OG does a great job offering pain relief with an alert, cerebral high.</p>","Hybrid",,"Old School Breeder's Association","Focused","Depression","Citrus",NULL,"Limonene","127","0","0","16","0","0","10","0","0","0","0","0","0","0","0","0"
"2","1","0","707 Headband",NULL,NULL,NULL,"Hybrid","378,272","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3","1","0","A-10",NULL,NULL,NULL,"Indica","0",,"Relaxed, Happy, Uplifted, Energetic, Sleepy, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Muscle Spasms, Depression","Citrus, Sweet",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4","1","0","Acapulco Gold",NULL,NULL,NULL,"Sativa","0",,"Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Lack of Appetite","Earthy, Citrus",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5","1","0","Afghani Bullrider",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Sweet, Pine, Earthy",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"6","1","0","Afghan Big Bud",NULL,NULL,NULL,"Indica","9,39",,"Euphoric, Happy, Talkative, Relaxed, Sleepy, Dry Mouth, Paranoid","Stress, Pain, Nausea, Insomnia, Depression","Lemon, Lavender",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7","1","0","Afghan Diesel",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8","1","0","Afghan Kush",NULL,NULL,NULL,"Hybrid","0","White Label Co.",NULL,NULL,NULL,"Yucca Valley, CA",NULL,"1300",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9","1","0","Afghani",NULL,NULL,NULL,"Indica","0",,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Lack of Appetite, Depression","Earthy, Sweet, Pine",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10","1","0","Afghanica",NULL,NULL,NULL,"Hybrid","10","Flying Dutchmen Seed Company",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"11","1","0","Afghooey",NULL,NULL,NULL,"Indica","0",,"Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Muscle Spasms","Earthy, Sweet",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
